transaction_id,sender_account_id,receiver_account_id,amount,currency,timestamp,is_suspicious,typology,is_round_amount,txn_count_1d,total_amount_1d,avg_amount_1d,txn_count_7d,total_amount_7d,txn_count_30d,total_amount_30d,total_received_1d,velocity_in_out_ratio,risk_rating,jurisdiction,is_pep,onboarding_date,last_review_date,hit_R001,hit_R002,hit_R003,hit_R004,risk_score,triggered_rules
5f723467-660d-4b52-adcd-ceeb7a984478,GB08EQTZ86061065673374,GB85LKXN19221882206318,910.07,GBP,2025-06-29T08:44:49.201902000,0,None,0,1,910.07,910.07,1,910.07,3,4558.76,0.0,0.0,High,Cyprus,true,2025-03-29T00:00:00.000,2025-08-03T00:00:00.000,false,false,false,true,60,"[""R004""]"
b3d55ed3-3ab9-458f-a401-aa8b3e9d580b,GB09OAMD30112738318172,GB03UTXU83292401162801,1047.79,GBP,2025-06-29T09:00:15.544094000,0,None,0,1,1047.79,1047.79,1,1047.79,1,1047.79,0.0,0.0,High,US,false,2021-07-07T00:00:00.000,2024-04-24T00:00:00.000,false,false,false,true,60,"[""R004""]"
5477306b-7f5c-403d-b84f-283072c8d337,GB11RIIA93865471927054,GB78STER42678617840548,157.18,GBP,2025-06-29T09:03:44.721879000,0,None,0,1,157.18,157.18,1,157.18,3,2958.16,0.0,0.0,High,UK,false,2023-03-30T00:00:00.000,2023-05-17T00:00:00.000,false,false,false,true,60,"[""R004""]"
3cc354d3-19e3-4154-a446-fcca6f999d0f,GB25DQMS30326456496741,GB57QAET33583843910657,1718.96,GBP,2025-06-29T09:13:07.914971000,0,None,0,2,21718.96,10859.48,2,21718.96,4,23202.519999999997,432.96,50.04829938243156,Medium,Panama,false,2023-04-17T00:00:00.000,2024-09-22T00:00:00.000,false,true,false,false,90,"[""R002""]"
bff104e9-e5fa-4bd6-b7a0-b81bb1a5acec,GB61RSTE46625760138079,GB91PMNR09846018040334,383.61,GBP,2025-06-29T09:37:27.188677000,0,None,0,1,383.61,383.61,1,383.61,2,1032.44,0.0,0.0,High,Canada,false,2022-07-20T00:00:00.000,2022-12-27T00:00:00.000,false,false,false,true,60,"[""R004""]"
d9bea75c-08d7-4a70-93a9-a0ef4a3593f8,GB46QMHI14487774763971,GB30SJDJ29009401774919,1925.68,GBP,2025-06-29T10:03:56.237205000,0,None,0,1,1925.68,1925.68,1,1925.68,1,1925.68,0.0,0.0,High,Germany,false,2022-03-13T00:00:00.000,2023-12-12T00:00:00.000,false,false,false,true,60,"[""R004""]"
a6d0b042-b60e-4ec2-9a3f-3d67737cd73a,GB08ENXR92658352738396,GB87ANJM20667298361941,361.59,GBP,2025-06-29T10:20:47.885150000,0,None,0,1,361.59,361.59,1,361.59,2,1092.0,0.0,0.0,High,Malta,false,2026-06-24T00:00:00.000,2026-06-24T00:00:00.000,false,false,false,true,60,"[""R004""]"
9ad81bb3-7b29-4dbe-88c0-ffe0dee926ee,GB09JJFX36479214990108,GB34LVUE19899020777308,10000.0,GBP,2025-06-29T10:52:01.436936000,1,Round Amount,1,1,10000.0,10000.0,1,10000.0,1,10000.0,1203.67,8.301028497430831,Low,UK,false,2022-11-12T00:00:00.000,2025-07-11T00:00:00.000,false,true,true,false,100,"[""R002"", ""R003""]"
4ef10844-33e2-4cb1-852f-5ee3d8f3c80d,GB16DKZN22584819060459,GB80XJVF44310299321036,849.85,GBP,2025-06-29T10:58:36.302769000,0,None,0,1,849.85,849.85,2,987.8100000000001,3,2918.66,0.0,0.0,High,Malta,false,2024-10-31T00:00:00.000,2025-06-24T00:00:00.000,false,false,false,true,60,"[""R004""]"
60bbe689-ae57-49ba-ab9d-c396e33c5896,GB90HWYZ93004603560897,GB15FGUW44944748485694,415.7,GBP,2025-06-29T11:01:46.350702000,0,None,0,1,415.7,415.7,2,1659.5,4,3589.71,0.0,0.0,High,UAE,false,2022-01-04T00:00:00.000,2022-04-20T00:00:00.000,false,false,false,true,60,"[""R004""]"
8cdd2cba-669e-4384-ae0e-ec93ff34d491,GB26GBTG53521517346606,GB15XBSJ09165737624266,1272.16,GBP,2025-06-29T11:07:53.438767000,0,None,0,1,1272.16,1272.16,1,1272.16,3,5047.91,0.0,0.0,High,UK,false,2025-05-21T00:00:00.000,2026-02-21T00:00:00.000,false,false,false,true,60,"[""R004""]"
